"[all run data]","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100"
,"485","43","1","16.784203102961918","0","13","1","5.500705218617771","0","7","1","5.077574047954866","0","10","1","5.218617771509168","658","59","1","34.696755994358256","279","48","1","19.040902679830747","654","51","1","26.939351198871652","704","55","1","27.50352609308886","398","41","1","17.348377997179128","650","47","1","35.119887165021154"
,"455","58","1","18.758815232722146","0","22","1","5.500705218617771","0","10","1","5.077574047954866","0","13","1","5.218617771509168","640","75","1","38.2228490832158","248","65","1","20.73342736248237","600","65","1","30.888575458392104","654","70","1","31.734837799717912","376","59","1","18.899858956276447","599","62","1","38.2228490832158"
,"572","59","2","20.59238363892807","0","22","2","5.500705218617771","0","10","2","5.077574047954866","0","13","2","5.218617771509168","679","76","2","41.889985895627646","328","66","2","23.1311706629055","670","66","2","34.696755994358256","717","71","2","35.966149506346966","457","60","2","21.438645980253877","660","63","2","41.46685472496474"
,"535","59","2","22.28490832157969","0","22","2","5.500705218617771","0","10","2","5.077574047954866","0","13","2","5.218617771509168","656","76","2","45.839210155148095","289","66","2","25.811001410437235","618","66","2","37.9407616361072","666","71","2","40.05641748942172","427","60","2","23.1311706629055","616","63","2","43.723554301833566"
,"654","69","2","25.38787023977433","0","22","2","5.500705218617771","0","10","2","4.9365303244005645","0","13","2","5.218617771509168","667","87","2","49.647390691114246","376","70","2","27.926657263751764","708","74","2","41.607898448519045","732","80","2","43.86459802538787","489","68","2","26.234132581100138","702","66","2","46.403385049365305"
,"608","70","3","28.49083215796897","0","22","3","5.500705218617771","0","10","3","4.795486600846263","0","13","3","5.218617771509168","647","88","3","53.5966149506347","333","71","3","30.04231311706629","652","75","3","44.99294781382229","674","81","3","46.5444287729196","447","69","3","29.33709449929478","640","67","3","49.365303244005645"
,"704","70","3","31.875881523272216","0","22","3","5.500705218617771","0","10","3","4.795486600846263","0","13","3","5.218617771509168","673","88","3","57.122708039492245","427","71","3","31.875881523272216","720","75","3","49.083215796897036","727","81","3","49.083215796897036","539","69","3","32.722143864598024","702","67","3","51.90409026798307"
,"650","88","3","35.40197461212976","0","34","3","5.500705218617771","0","14","3","4.65444287729196","0","24","3","5.077574047954866","643","114","3","60.507757404795484","367","91","3","34.97884344146686","639","101","3","53.45557122708039","665","91","3","51.90409026798307","478","89","3","36.81241184767278","630","84","3","54.724964739069115"
,"726","89","4","38.081805359661494","0","34","4","5.359661495063469","0","14","4","4.513399153737659","0","24","4","5.077574047954866","676","115","4","63.89280677009873","455","92","4","38.081805359661494","692","102","4","58.110014104372354","706","92","4","54.58392101551481","562","90","4","39.915373765867415","711","85","4","57.54583921015515"
,"663","89","4","40.62059238363893","0","34","4","5.218617771509168","0","14","4","4.513399153737659","0","24","4","5.077574047954866","643","115","4","66.29055007052186","393","92","4","40.62059238363893","598","102","4","62.34132581100141","632","92","4","56.69957686882934","495","90","4","43.723554301833566","640","85","4","59.80253878702398"
