"[all run data]","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100"
,"697","41","0","23.413258110014105","741","39","0","21.438645980253877","724","33","0","21.861777150916783","754","29","0","22.708039492242595","772","30","0","19.18194640338505","711","40","0","23.2722143864598","757","27","0","12.411847672778562","721","38","0","24.682651622002822","734","37","0","23.1311706629055","741","35","0","10.860366713681241"
,"697","42","0","26.375176304654442","743","40","0","23.695345557122707","727","34","0","23.97743300423131","755","30","0","24.400564174894217","767","31","0","20.16925246826516","708","41","0","25.811001410437235","750","28","0","13.681241184767279","740","39","0","26.939351198871652","745","38","0","25.952045133991536","741","36","0","11.706629055007053"
,"699","42","0","29.055007052186177","738","40","0","25.952045133991536","720","34","0","26.093088857545837","751","30","0","26.234132581100138","772","31","0","21.57968970380818","719","41","0","28.067700987306065","751","28","0","15.091678420310295","722","39","0","28.913963328631876","726","38","0","28.49083215796897","739","36","0","12.834978843441466"
,"710","43","0","31.875881523272216","744","43","0","28.34978843441467","708","42","0","28.772919605077576","751","33","0","28.34978843441467","765","35","0","22.9901269393512","709","44","0","30.32440056417489","744","29","0","16.502115655853313","735","43","0","31.31170662905501","740","42","0","31.029619181946405","732","43","0","14.809590973201692"
,"696","44","1","35.26093088857546","737","44","1","30.4654442877292","700","43","1","31.59379407616361","753","34","1","29.90126939351199","771","36","1","24.118476727785616","717","45","1","31.875881523272216","744","30","1","17.63046544428773","714","44","1","33.42736248236953","718","43","1","33.568406205923836","732","44","1","15.655853314527505"
,"714","44","1","37.9407616361072","745","44","1","33.14527503526093","706","43","1","33.99153737658674","750","34","1","31.59379407616361","765","36","1","25.38787023977433","717","45","1","33.568406205923836","736","30","1","18.758815232722146","731","44","1","34.97884344146686","735","43","1","35.54301833568406","734","44","1","16.784203102961918"
,"702","52","1","40.33850493653032","729","53","1","35.82510578279267","698","53","1","36.10719322990127","745","45","1","33.286318758815234","759","46","1","27.080394922425953","719","51","1","34.83779971791255","740","40","1","20.451339915373765","701","53","1","36.67136812411847","705","54","1","37.51763046544429","719","51","1","18.899858956276447"
,"724","53","2","42.877291960507755","734","54","2","37.9407616361072","687","54","2","38.928067700987306","748","46","2","34.83779971791255","748","47","2","28.49083215796897","715","52","2","36.38928067700987","732","41","2","21.861777150916783","710","54","2","39.492242595204516","730","55","2","40.479548660084625","735","52","2","20.451339915373765"
,"708","53","2","45.27503526093089","725","54","2","40.19746121297602","700","54","2","41.46685472496474","744","46","2","36.10719322990127","761","47","2","29.90126939351199","714","52","2","37.9407616361072","733","41","2","23.1311706629055","688","54","2","42.03102961918195","703","55","2","42.877291960507755","727","52","2","21.861777150916783"
,"711","57","2","48.23695345557123","729","65","2","42.59520451339915","694","64","2","44.00564174894217","732","51","2","38.081805359661494","751","52","2","31.59379407616361","706","56","2","39.63328631875881","718","48","2","25.24682651622003","700","61","2","44.42877291960507","727","59","2","46.1212976022567","726","63","2","24.259520451339917"
,"706","58","3","50.352609308885754","718","66","3","44.99294781382229","699","65","3","46.96755994358251","737","52","3","39.35119887165021","757","53","3","33.286318758815234","707","57","3","41.18476727785614","727","49","3","27.080394922425953","676","62","3","46.82651622002821","704","60","3","48.94217207334274","717","64","3","26.234132581100138"
,"721","58","3","52.32722143864598","723","66","3","46.96755994358251","698","65","3","49.50634696755994","732","52","3","39.77433004231312","751","53","3","34.97884344146686","700","57","3","43.58251057827927","714","49","3","28.63187588152327","701","62","3","50.07052186177715","721","60","3","51.62200282087447","725","64","3","28.34978843441467"
,"701","74","3","54.30183356840621","709","79","3","49.22425952045134","689","77","3","52.750352609308884","722","73","3","41.04372355430183","747","61","3","36.81241184767278","693","69","3","45.9802538787024","717","61","3","30.6064880112835","660","82","3","53.17348377997179","690","68","3","53.878702397743304","713","72","3","30.888575458392104"
,"700","75","4","56.98166431593794","722","80","4","51.90409026798307","688","78","4","55.14809590973202","720","74","4","42.73624823695346","738","62","4","38.645980253878705","696","70","4","48.23695345557123","706","62","4","32.722143864598024","689","83","4","56.41748942172073","712","69","4","56.276445698166434","712","73","4","33.286318758815234"
,"686","75","4","59.80253878702398","709","80","4","55.14809590973202","688","78","4","57.82792665726375","710","74","4","44.71086036671368","743","62","4","39.915373765867415","700","70","4","50.49365303244006","715","62","4","34.97884344146686","650","83","4","60.225669957686875","688","69","4","57.96897038081805","703","73","4","35.54301833568406"
,"680","80","4","62.90550070521862","716","88","4","57.82792665726375","682","91","4","60.78984485190409","722","78","4","45.839210155148095","727","72","4","41.889985895627646","691","75","4","52.32722143864598","698","65","4","37.37658674188998","666","93","4","63.89280677009873","708","77","4","59.943582510578274","708","85","4","38.5049365303244"
,"668","81","5","65.58533145275035","698","89","5","60.225669957686875","676","92","5","63.04654442877292","714","79","5","46.96755994358251","731","73","5","42.59520451339915","700","76","5","54.160789844851905","704","66","5","39.492242595204516","638","94","5","66.57263751763047","677","78","5","62.482369534555716","693","86","5","40.761636107193226"
,"673","81","5","68.8293370944993","706","89","5","62.200282087447114","676","92","5","65.44428772919605","724","79","5","48.09590973201692","720","73","5","43.30042313117066","696","76","5","56.69957686882934","689","66","5","41.889985895627646","675","94","5","69.5345557122708","699","78","5","64.31593794076164","706","86","5","43.441466854724965"
,"652","104","6","71.50916784203103","673","111","6","64.17489421720734","665","99","6","67.41889985895627","699","95","6","49.083215796897036","714","85","6","44.71086036671368","690","86","6","59.37940761636107","694","80","6","44.14668547249647","646","111","6","73.06064880112835","651","103","6","66.71368124118476","678","96","6","46.262341325811"
,"661","105","7","74.61212976022567","674","112","7","66.00846262341325","664","100","7","69.1114245416079","705","96","7","50.49365303244006","699","86","7","46.685472496473906","690","87","7","61.212976022567","674","81","7","46.262341325811","675","112","7","75.17630465444289","673","104","7","68.68829337094499","689","97","7","48.94217207334274"
,"649","105","7","76.16361071932299","639","112","7","67.70098730606487","659","100","7","71.50916784203103","681","96","7","52.186177715091674","700","86","7","48.23695345557123","686","87","7","62.34132581100141","691","81","7","48.66008462623414","628","112","7","76.7277856135402","626","104","7","70.80394922425953","667","97","7","51.48095909732017"
,"653","115","8","77.71509167842031","654","123","8","69.95768688293371","657","112","8","73.06064880112835","696","102","8","53.878702397743304","690","98","8","50.352609308885754","685","92","8","63.32863187588153","658","88","8","51.33991537376586","647","122","8","78.84344146685473","649","116","8","71.93229901269393","680","109","8","54.30183356840621"
,"625","116","9","78.27926657263752","635","124","9","71.50916784203103","652","113","9","74.04795486600845","680","103","9","55.57122708039493","687","99","9","52.32722143864598","679","93","9","65.02115655853315","692","89","9","54.160789844851905","614","123","9","80.11283497884344","615","117","9","73.62482369534555","656","110","9","56.98166431593794"
,"633","116","9","80.39492242595205","658","124","9","73.62482369534555","651","113","9","75.45839210155148","703","103","9","57.82792665726375","672","99","9","54.86600846262342","677","93","9","67.27785613540198","671","89","9","56.558533145275035","640","123","9","81.52327221438645","645","117","9","75.45839210155148","670","110","9","60.08462623413258"
,"614","132","10","82.79266572637518","627","133","10","75.74047954866009","645","118","10","77.29196050775741","677","110","10","59.52045133991537","669","109","10","56.69957686882934","679","98","10","69.5345557122708","685","93","10","58.81523272214386","619","130","10","82.65162200282089","594","131","10","76.8688293370945","652","119","10","63.18758815232722"
,"618","114","11","84.20310296191819","645","117","11","77.574047954866","639","104","11","78.84344146685473","690","85","11","61.77715091678421","653","100","11","58.81523272214386","675","82","11","70.38081805359661","660","79","11","60.08462623413258","653","106","11","84.6262341325811","626","112","11","78.27926657263752","674","110","11","66.14950634696756"
,"621","105","11","84.3441466854725","636","107","11","78.13822284908322","653","99","11","79.68970380818054","680","74","11","62.76445698166432","687","92","11","60.64880112834978","687","74","11","71.79125528913963","690","73","11","61.212976022567","631","93","11","84.6262341325811","602","107","11","79.26657263751763","669","105","11","68.68829337094499"
,"657","108","12","85.1904090267983","662","114","12","79.26657263751763","662","105","12","80.95909732016925","704","70","12","63.75176304654443","676","111","12","63.469675599435824","692","82","12","73.06064880112835","664","84","12","62.05923836389281","670","95","12","85.75458392101551","634","117","12","80.25387870239774","675","111","12","70.66290550070522"
,"644","99","13","86.17771509167842","647","98","13","79.40761636107193","663","86","13","81.24118476727786","692","68","13","63.89280677009873","677","108","13","65.16220028208744","691","71","13","73.34273624823695","678","81","13","62.34132581100141","636","79","13","86.74188998589563","619","109","13","80.95909732016925","668","103","13","72.49647390691113"
,"656","95","13","86.45980253878702","684","90","13","80.11283497884344","679","78","13","81.24118476727786","715","67","13","64.31593794076164","653","107","13","66.85472496473906","687","70","13","73.62482369534555","656","81","13","63.469675599435824","694","71","13","87.30606488011283","648","104","13","80.67700987306064","693","99","13","74.04795486600845"
,"651","107","14","86.60084626234132","672","99","13","80.25387870239774","671","83","14","81.52327221438645","697","74","14","65.02115655853315","661","108","13","68.8293370944993","694","81","14","73.90691114245416","663","92","14","64.73906911142454","675","81","14","87.72919605077574","617","113","14","81.10014104372355","671","101","14","75.59943582510579"
,"655","93","15","86.88293370944993","687","91","14","80.67700987306064","678","79","15","81.80535966149506","708","73","15","66.14950634696756","645","97","14","70.66290550070522","680","75","15","73.76586741889986","637","87","15","66.00846262341325","692","77","15","87.72919605077574","642","104","15","82.93370944992948","681","91","15","76.4456981664316"
,"649","86","15","87.44710860366713","673","89","14","80.53596614950635","676","78","15","81.94640338504936","693","71","15","66.29055007052186","658","95","14","72.21438645980254","689","74","15","73.62482369534555","652","84","15","67.55994358251057","681","77","15","88.71650211565584","623","103","15","82.79266572637518","672","88","15","77.1509167842031"
,"671","85","18","88.15232722143864","689","97","17","80.81805359661494","670","91","17","81.66431593794076","709","73","17","66.43159379407616","639","111","16","73.06064880112835","676","83","18","73.34273624823695","622","101","17","68.8293370944993","685","81","18","88.43441466854725","647","109","17","83.49788434414668","675","88","18","76.8688293370945"
,"671","80","19","87.44710860366713","672","92","18","81.66431593794076","659","90","18","82.08744710860366","697","68","18","66.29055007052186","645","106","17","74.18899858956276","678","83","19","72.91960507757405","640","97","18","68.8293370944993","667","78","19","88.29337094499294","623","99","18","83.49788434414668","668","71","19","76.8688293370945"
,"691","76","19","87.16502115655854","693","90","18","81.66431593794076","664","87","18","81.66431593794076","714","66","18","66.57263751763047","639","104","17","74.75317348377996","672","81","19","71.79125528913963","627","93","18","70.09873060648802","681","77","19","87.72919605077574","667","93","18","83.9210155148096","691","62","19","76.3046544428773"
,"675","82","21","86.45980253878702","675","100","21","82.36953455571228","655","95","20","80.95909732016925","702","73","20","66.85472496473906","663","108","19","75.59943582510579","664","95","22","71.36812411847673","652","98","21","70.80394922425953","658","85","21","87.02397743300423","652","99","20","83.9210155148096","690","61","22","76.16361071932299"
,"682","71","22","86.45980253878702","686","91","22","83.77997179125529","661","91","21","81.10014104372355","714","67","21","66.57263751763047","647","104","20","76.8688293370945","661","93","23","71.22708039492242","634","90","22","71.79125528913963","670","72","22","87.02397743300423","660","91","21","84.0620592383639","695","56","23","76.3046544428773"
,"672","63","22","85.75458392101551","671","88","22","83.9210155148096","650","87","21","81.10014104372355","702","67","21","67.13681241184767","660","102","20","77.43300423131171","661","89","23","71.22708039492242","672","86","22","72.35543018335684","661","67","22","86.31875881523273","636","90","21","84.20310296191819","701","51","23","75.31734837799718"
,"680","69","24","85.33145275035261","684","99","25","83.21579689703809","648","93","23","81.66431593794076","712","71","22","66.85472496473906","638","123","23","77.71509167842031","655","96","24","70.80394922425953","642","88","25","72.77856135401974","672","71","24","86.88293370944993","654","99","24","85.049365303244","695","61","26","73.62482369534555"
,"669","64","25","84.6262341325811","664","88","26","82.79266572637518","637","81","24","81.80535966149506","698","70","23","66.85472496473906","662","122","24","77.99717912552892","653","88","25","70.80394922425953","666","75","26","72.91960507757405","662","67","25","86.88293370944993","637","92","25","85.049365303244","692","54","27","72.91960507757405"
,"676","60","25","83.9210155148096","686","84","26","82.93370944992948","659","75","24","81.24118476727786","708","70","23","67.55994358251057","630","122","24","78.42031029619181","656","87","25","71.93229901269393","655","65","26","73.62482369534555","678","65","25","86.17771509167842","656","90","25","84.0620592383639","692","52","27","72.49647390691113"
,"672","70","28","83.3568406205924","663","92","29","83.21579689703809","649","82","27","80.95909732016925","687","80","26","68.68829337094499","636","129","26","80.11283497884344","660","96","27","71.65021156558534","686","71","29","73.34273624823695","657","73","28","86.03667136812412","647","93","27","83.9210155148096","688","58","30","71.93229901269393"
,"670","71","29","82.65162200282089","671","83","30","82.51057827926658","664","77","28","81.10014104372355","691","73","27","68.8293370944993","618","126","27","80.67700987306064","660","94","28","72.35543018335684","673","69","30","73.76586741889986","678","73","29","85.33145275035261","650","81","28","84.20310296191819","694","56","31","71.08603667136812"
,"664","68","29","82.08744710860366","669","80","30","82.08744710860366","668","74","28","80.67700987306064","685","71","27","68.68829337094499","619","121","27","79.68970380818054","662","93","28","71.93229901269393","681","67","30","73.34273624823695","656","72","29","84.3441466854725","644","76","28","84.4851904090268","687","54","31","69.95768688293371"
,"658","76","32","81.38222849083215","682","83","30","82.51057827926658","666","80","31","79.68970380818054","681","83","28","69.1114245416079","593","129","27","79.68970380818054","645","100","31","72.91960507757405","661","74","33","73.34273624823695","659","78","31","84.4851904090268","665","86","31","84.4851904090268","691","63","34","69.81664315937941"
,"652","76","33","81.52327221438645","676","69","31","81.94640338504936","661","76","32","78.56135401974612","670","79","29","69.39351198871651","605","102","28","79.26657263751763","646","96","32","72.35543018335684","677","69","34","73.06064880112835","650","72","32","83.63892806770099","649","75","32","82.65162200282089","677","56","35","68.68829337094499"
