"[all run data]","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100","count bacteria","count neutrophils","count macrophages","count patches with [pcolor > 29] / 709 * 100"
,"0","28","4","4.090267983074753","0","32","4","5.500705218617771","701","86","4","47.53173483779972","0","33","4","4.231311706629055","0","37","4","5.077574047954866","729","74","4","34.97884344146686","704","81","4","44.42877291960507","692","100","4","59.23836389280677","0","35","4","5.500705218617771","696","92","4","59.943582510578274"
,"0","28","4","3.9492242595204514","0","32","4","5.500705218617771","629","86","4","50.49365303244006","0","33","4","4.231311706629055","0","37","4","4.9365303244005645","679","74","4","38.081805359661494","681","81","4","46.685472496473906","655","100","4","62.200282087447114","0","35","4","5.500705218617771","672","92","4","62.90550070521862"
,"0","28","4","3.9492242595204514","0","32","4","5.359661495063469","678","105","4","53.73765867418901","0","33","4","3.9492242595204514","0","37","4","4.795486600846263","744","76","4","41.04372355430183","700","89","4","50.07052186177715","685","111","4","65.16220028208744","0","35","4","5.359661495063469","677","103","4","66.71368124118476"
,"0","28","5","3.9492242595204514","0","32","5","5.359661495063469","599","106","5","57.68688293370945","0","33","5","3.80818053596615","0","37","5","4.65444287729196","690","77","5","43.30042313117066","668","90","5","53.878702397743304","657","112","5","66.85472496473906","0","35","5","5.359661495063469","652","104","5","69.5345557122708"
,"0","28","5","3.80818053596615","0","32","5","5.077574047954866","670","106","5","59.66149506346967","0","33","5","3.6671368124118473","0","37","5","4.513399153737659","734","77","5","45.41607898448519","681","90","5","56.98166431593794","689","112","5","68.68829337094499","0","35","5","5.359661495063469","676","104","5","72.35543018335684"
,"0","42","6","3.80818053596615","0","51","6","4.795486600846263","591","119","6","62.90550070521862","0","48","6","3.5260930888575457","0","61","6","4.513399153737659","662","100","6","48.23695345557123","639","109","6","60.08462623413258","635","133","6","70.66290550070522","0","48","6","5.359661495063469","652","122","6","75.45839210155148"
,"0","42","7","3.6671368124118473","0","51","7","4.513399153737659","678","120","7","66.29055007052186","0","48","7","3.385049365303244","0","61","7","4.372355430183357","708","101","7","50.21156558533145","664","110","7","62.482369534555716","662","134","7","72.07334273624824","0","48","7","5.359661495063469","664","123","7","77.1509167842031"
,"0","42","7","3.6671368124118473","0","51","7","4.513399153737659","579","120","7","68.9703808180536","0","48","7","3.385049365303244","0","61","7","4.231311706629055","632","101","7","53.17348377997179","627","110","7","65.72637517630466","625","134","7","73.48377997179125","0","48","7","5.359661495063469","641","123","7","78.70239774330042"
,"0","42","8","3.6671368124118473","0","51","8","4.513399153737659","652","142","8","72.49647390691113","0","48","8","3.385049365303244","0","61","8","4.231311706629055","693","111","8","56.69957686882934","660","125","8","67.84203102961918","651","149","8","75.17630465444289","0","48","8","5.359661495063469","668","135","8","80.95909732016925"
,"0","42","9","3.6671368124118473","0","51","9","4.231311706629055","553","143","9","74.89421720733426","0","48","9","3.385049365303244","0","61","9","4.090267983074753","618","112","9","58.956276445698165","614","126","9","71.22708039492242","603","150","9","77.1509167842031","0","48","9","5.359661495063469","639","136","9","81.10014104372355"
,"0","42","9","3.6671368124118473","0","51","9","4.231311706629055","663","143","9","76.5867418899859","0","48","9","3.244005641748942","0","61","9","3.9492242595204514","690","112","9","62.76445698166432","657","126","9","73.06064880112835","641","150","9","79.26657263751763","0","48","9","5.359661495063469","662","136","9","83.07475317348378"
,"0","42","10","3.6671368124118473","0","51","10","4.090267983074753","563","149","10","78.98448519040903","0","48","10","2.9619181946403383","0","61","10","3.80818053596615","595","120","10","66.14950634696756","583","142","10","74.89421720733426","591","156","10","81.10014104372355","0","48","10","5.359661495063469","636","141","9","84.20310296191819"
,"0","15","11","3.6671368124118473","0","24","11","3.9492242595204514","668","132","11","80.25387870239774","0","20","11","2.8208744710860367","0","29","11","3.6671368124118473","669","88","11","69.1114245416079","627","128","11","76.8688293370945","634","125","11","82.36953455571228","0","23","11","5.218617771509168","657","120","10","85.61354019746122"
,"0","8","11","3.6671368124118473","0","12","11","3.9492242595204514","571","127","11","81.24118476727786","0","6","11","2.8208744710860367","0","14","11","3.5260930888575457","603","79","11","70.38081805359661","568","122","11","79.26657263751763","621","111","11","82.79266572637518","0","12","11","5.218617771509168","632","108","10","86.74188998589563"
,"0","6","12","3.5260930888575457","0","6","12","3.80818053596615","679","135","12","82.93370944992948","0","2","12","2.6798307475317347","0","6","12","3.385049365303244","705","87","12","72.21438645980254","633","130","12","81.38222849083215","668","110","12","82.79266572637518","0","9","12","5.077574047954866","669","114","11","86.88293370944993"
,"0","3","13","3.5260930888575457","0","3","13","3.80818053596615","593","116","13","83.77997179125529","0","1","13","2.6798307475317347","0","6","13","3.244005641748942","644","83","13","74.04795486600845","586","119","13","82.51057827926658","649","90","13","82.93370944992948","0","4","13","4.9365303244005645","648","90","12","86.60084626234132"
,"0","0","13","3.385049365303244","0","0","13","3.80818053596615","710","101","13","85.1904090267983","0","1","13","2.6798307475317347","0","3","13","3.1029619181946404","726","83","13","74.47108603667137","656","113","13","85.049365303244","691","83","13","82.51057827926658","0","1","13","4.795486600846263","695","83","12","86.60084626234132"
,"0","0","14","3.244005641748942","0","0","14","3.6671368124118473","621","102","14","85.89562764456981","0","1","14","2.6798307475317347","0","2","14","3.1029619181946404","650","90","14","75.59943582510579","585","127","14","86.17771509167842","668","87","14","82.22849083215797","0","1","14","4.513399153737659","665","95","13","86.45980253878702"
,"0","0","15","3.244005641748942","0","0","15","3.5260930888575457","720","97","15","86.45980253878702","0","1","15","2.6798307475317347","0","0","15","3.1029619181946404","709","91","15","76.16361071932299","646","115","15","87.16502115655854","703","78","15","83.63892806770099","0","1","15","4.231311706629055","689","88","14","86.88293370944993"
,"0","0","15","2.9619181946403383","0","0","15","3.5260930888575457","635","95","15","86.60084626234132","0","0","15","2.6798307475317347","0","0","15","3.1029619181946404","648","89","15","76.3046544428773","607","109","15","87.44710860366713","704","74","15","83.63892806770099","0","0","15","3.9492242595204514","672","84","14","86.74188998589563"
